time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
6.780000,6.606320,1.185736,0.176674,6.606320,1.185736,0.176674
6.790000,6.616165,1.187493,0.175214,6.616165,1.187493,0.175214
6.800000,6.626012,1.189237,0.173754,6.626012,1.189237,0.173754
6.810000,6.635861,1.190965,0.172293,6.635861,1.190965,0.172293
6.820000,6.645713,1.192680,0.170833,6.645713,1.192680,0.170833
6.830000,6.655567,1.194380,0.169373,6.655567,1.194380,0.169373
6.840000,6.665424,1.196065,0.167913,6.665424,1.196065,0.167913
6.850000,6.675284,1.197737,0.166453,6.675284,1.197737,0.166453
6.860000,6.685145,1.199394,0.164993,6.685145,1.199394,0.164993
6.870000,6.695010,1.201036,0.163533,6.695010,1.201036,0.163533
6.880000,6.704876,1.202664,0.162073,6.704876,1.202664,0.162073
6.890000,6.714745,1.204278,0.160613,6.714745,1.204278,0.160613
6.900000,6.724616,1.205877,0.159152,6.724616,1.205877,0.159152
6.910000,6.734490,1.207462,0.157692,6.734490,1.207462,0.157692
6.920000,6.744366,1.209032,0.156232,6.744366,1.209032,0.156232
6.930000,6.754244,1.210588,0.154772,6.754244,1.210588,0.154772
6.940000,6.764125,1.212130,0.153312,6.764125,1.212130,0.153312
6.950000,6.774007,1.213657,0.151852,6.774007,1.213657,0.151852
6.960000,6.783892,1.215169,0.150392,6.783892,1.215169,0.150392
6.970000,6.793779,1.216668,0.148932,6.793779,1.216668,0.148932
6.980000,6.803669,1.218152,0.147472,6.803669,1.218152,0.147472
6.990000,6.813560,1.219621,0.146011,6.813560,1.219621,0.146011
7.000000,6.823454,1.221076,0.144551,6.823454,1.221076,0.144551
7.010000,6.833350,1.222516,0.143091,6.833350,1.222516,0.143091
7.020000,6.843247,1.223942,0.141631,6.843247,1.223942,0.141631
7.030000,6.853147,1.225354,0.140171,6.853147,1.225354,0.140171
7.040000,6.863049,1.226751,0.138711,6.863049,1.226751,0.138711
7.050000,6.872953,1.228134,0.137251,6.872953,1.228134,0.137251
7.060000,6.882859,1.229502,0.135791,6.882859,1.229502,0.135791
7.070000,6.892767,1.230856,0.134330,6.892767,1.230856,0.134330
7.080000,6.902677,1.232195,0.132870,6.902677,1.232195,0.132870
7.090000,6.912589,1.233520,0.131410,6.912589,1.233520,0.131410
7.100000,6.922503,1.234830,0.129950,6.922503,1.234830,0.129950
7.110000,6.932418,1.236126,0.128490,6.932418,1.236126,0.128490
7.120000,6.942336,1.237407,0.127030,6.942336,1.237407,0.127030
7.130000,6.952255,1.238674,0.125570,6.952255,1.238674,0.125570
7.140000,6.962176,1.239927,0.124110,6.962176,1.239927,0.124110
7.150000,6.972100,1.241164,0.122650,6.972100,1.241164,0.122650
7.160000,6.982024,1.242388,0.121189,6.982024,1.242388,0.121189
7.170000,6.991951,1.243597,0.119729,6.991951,1.243597,0.119729
7.180000,7.001879,1.244791,0.118269,7.001879,1.244791,0.118269
7.190000,7.011810,1.245971,0.116809,7.011810,1.245971,0.116809
7.200000,7.021741,1.247137,0.115349,7.021741,1.247137,0.115349
7.210000,7.031675,1.248288,0.113889,7.031675,1.248288,0.113889
7.220000,7.041610,1.249424,0.112429,7.041610,1.249424,0.112429
7.230000,7.051547,1.250546,0.110969,7.051547,1.250546,0.110969
7.240000,7.061486,1.251653,0.109509,7.061486,1.251653,0.109509
7.250000,7.071426,1.252746,0.108048,7.071426,1.252746,0.108048
7.260000,7.081367,1.253825,0.106588,7.081367,1.253825,0.106588
7.270000,7.091311,1.254888,0.105128,7.091311,1.254888,0.105128
7.280000,7.101255,1.255938,0.103668,7.101255,1.255938,0.103668
7.290000,7.111202,1.256973,0.102208,7.111202,1.256973,0.102208
7.300000,7.121150,1.257993,0.100748,7.121150,1.257993,0.100748
7.310000,7.131099,1.258999,0.099288,7.131099,1.258999,0.099288
7.320000,7.141050,1.259990,0.097828,7.141050,1.259990,0.097828
7.330000,7.151002,1.260967,0.096368,7.151002,1.260967,0.096368
7.340000,7.160955,1.261929,0.094907,7.160955,1.261929,0.094907
7.350000,7.170910,1.262877,0.093447,7.170910,1.262877,0.093447
7.360000,7.180867,1.263810,0.091987,7.180867,1.263810,0.091987
7.370000,7.190824,1.264728,0.090527,7.190824,1.264728,0.090527
7.380000,7.200784,1.265632,0.089067,7.200784,1.265632,0.089067
7.390000,7.210744,1.266522,0.087607,7.210744,1.266522,0.087607
7.400000,7.220706,1.267397,0.086147,7.220706,1.267397,0.086147
7.410000,7.230668,1.268257,0.084687,7.230668,1.268257,0.084687
7.420000,7.240633,1.269103,0.083226,7.240633,1.269103,0.083226
7.430000,7.250598,1.269934,0.081766,7.250598,1.269934,0.081766
7.440000,7.260565,1.270751,0.080306,7.260565,1.270751,0.080306
7.450000,7.270532,1.271553,0.078846,7.270532,1.271553,0.078846
7.460000,7.280501,1.272341,0.077386,7.280501,1.272341,0.077386
7.470000,7.290471,1.273114,0.075926,7.290471,1.273114,0.075926
7.480000,7.300443,1.273872,0.074466,7.300443,1.273872,0.074466
7.490000,7.310415,1.274616,0.073006,7.310415,1.274616,0.073006
7.500000,7.320388,1.275346,0.071546,7.320388,1.275346,0.071546
7.510000,7.330363,1.276061,0.070085,7.330363,1.276061,0.070085
7.520000,7.340338,1.276761,0.068625,7.340338,1.276761,0.068625
7.530000,7.350315,1.277447,0.067165,7.350315,1.277447,0.067165
7.540000,7.360292,1.278118,0.065705,7.360292,1.278118,0.065705
7.550000,7.370270,1.278774,0.064245,7.370270,1.278774,0.064245
7.560000,7.380250,1.279416,0.062785,7.380250,1.279416,0.062785
7.570000,7.390230,1.280044,0.061325,7.390230,1.280044,0.061325
7.580000,7.400211,1.280657,0.059865,7.400211,1.280657,0.059865
7.590000,7.410193,1.281255,0.058405,7.410193,1.281255,0.058405
7.600000,7.420176,1.281839,0.056944,7.420176,1.281839,0.056944
7.610000,7.430160,1.282408,0.055484,7.430160,1.282408,0.055484
7.620000,7.440145,1.282962,0.054024,7.440145,1.282962,0.054024
7.630000,7.450130,1.283502,0.052564,7.450130,1.283502,0.052564
7.640000,7.460116,1.284028,0.051104,7.460116,1.284028,0.051104
7.650000,7.470103,1.284539,0.049644,7.470103,1.284539,0.049644
7.660000,7.480091,1.285035,0.048184,7.480091,1.285035,0.048184
7.670000,7.490079,1.285516,0.046724,7.490079,1.285516,0.046724
7.680000,7.500068,1.285984,0.045264,7.500068,1.285984,0.045264
7.690000,7.510058,1.286436,0.043803,7.510058,1.286436,0.043803
